 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Board Outline Contour             INCH units               23-January-2018 15:05

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    0.472       3.736       0.000
    0.472       3.776       0.000
    0.295       3.776       0.000
    0.290       3.775       0.000
    0.285       3.773       0.000
    0.281       3.770       0.000
    0.278       3.766       0.000
    0.276       3.761       0.000
    0.276       3.756       0.000
    0.276       3.756       0.000
    0.276       3.543       0.000
    0.275       3.538       0.000
    0.273       3.533       0.000
    0.270       3.529       0.000
    0.266       3.526       0.000
    0.261       3.524       0.000
    0.256       3.524       0.000
    0.256       3.524       0.000
    0.256       3.094       0.000
    0.255       3.089       0.000
    0.253       3.085       0.000
    0.250       3.081       0.000
    0.246       3.077       0.000
    0.241       3.075       0.000
    0.236       3.075       0.000
    0.215       3.075       0.000
    0.209       3.074       0.000
    0.205       3.072       0.000
    0.201       3.069       0.000
    0.198       3.065       0.000
    0.196       3.060       0.000
    0.195       3.055       0.000
    0.195       2.863       0.000
    0.196       2.858       0.000
    0.198       2.853       0.000
    0.201       2.849       0.000
    0.205       2.846       0.000
    0.209       2.844       0.000
    0.215       2.844       0.000
    0.283       2.844       0.000
    0.284       2.849       0.000
    0.286       2.853       0.000
    0.289       2.857       0.000
    0.293       2.861       0.000
    0.298       2.863       0.000
    0.303       2.863       0.000
    0.308       2.863       0.000
    0.313       2.861       0.000
    0.317       2.857       0.000
    0.320       2.853       0.000
    0.322       2.849       0.000
    0.323       2.844       0.000
    0.323       2.491       0.000
    0.322       2.486       0.000
    0.320       2.481       0.000
    0.317       2.477       0.000
    0.313       2.474       0.000
    0.308       2.472       0.000
    0.303       2.471       0.000
    0.298       2.472       0.000
    0.293       2.474       0.000
    0.289       2.477       0.000
    0.286       2.481       0.000
    0.284       2.486       0.000
    0.283       2.491       0.000
    0.215       2.491       0.000
    0.209       2.490       0.000
    0.205       2.489       0.000
    0.201       2.485       0.000
    0.198       2.481       0.000
    0.196       2.477       0.000
    0.195       2.471       0.000
    0.195       2.407       0.000
    0.196       2.402       0.000
    0.198       2.398       0.000
    0.201       2.394       0.000
    0.205       2.390       0.000
    0.209       2.388       0.000
    0.215       2.388       0.000
    0.283       2.388       0.000
    0.294       2.386       0.000
    0.303       2.383       0.000
    0.311       2.376       0.000
    0.318       2.368       0.000
    0.321       2.359       0.000
    0.323       2.348       0.000
    0.323       2.274       0.000
    0.321       2.263       0.000
    0.318       2.254       0.000
    0.311       2.246       0.000
    0.303       2.240       0.000
    0.294       2.236       0.000
    0.283       2.234       0.000
    0.207       2.234       0.000
    0.202       2.234       0.000
    0.197       2.232       0.000
    0.193       2.228       0.000
    0.190       2.224       0.000
    0.188       2.220       0.000
