 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Test Fixture Nails     298/298  Selected Drills           23-January-2018 15:05
                        298 Nails,  1761 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1        7.5434    3.6982   1  A1   (T)  #94   PP3300_WLAN_DX   T PIN TB_TP62.1
$2        7.4638    3.1898   1  A1   (T)  #100  WLAN_SUSCLK      T PIN TB_TP1.1
$3        7.4490    3.1071   2  A1   (T)  #101  PE_RST_WLAN_L    T PIN TB_TP95.1
$4        7.5304    3.0982   2  A1   (T)  #102  BT_DISABLE_L     T PIN TP27.1
$5        7.5304    3.0362   3  A1   (T)  #103  WLAN_OFF_L       T PIN TP26.1
$6        7.4549    3.0137   3  A1   (T)  #108  WLAN_PCIE_WAKE_3V3_ODL T PIN TB_TP4.1
$7        7.3994    3.0072   3  A1   (T)  #1105 WLAN_Q2          T PIN TB_TP2.1
$8        7.2654    3.1282   2  A1   (T)  #402  PE_RST_WLAN_ODL  T PIN TB_TP94.1
$9        7.2389    3.0707   3  A1   (T)  #842  WLAN_PE_RST      T PIN TB_TP3.1
$10       7.1354    2.9371   3  A1   (T)  #291  DIOM4            T PIN TP84.1
$11       7.1804    2.5778   1  A1   (T)  #978  EC_KSI_02        T PIN TB_TP181.1
$12       7.1524    2.4872   1  A1   (T)  #390  EC_FLASH_WP_ODL  T PIN TB_TP186.1
$13       7.5022    2.4781   1  A1   (T)  #339  I2C_SDA_INA      T PIN TB_TP126.1
$14       7.8470    1.8280   1  A1   (T)  #267  PP5000_USB_A1_VBUS T PIN TB_TP58.1
$15       7.7913    1.6533   1  A1   (T)  #893  SN1408009RTER_CTL32 T PIN TB_TP37.1
$16       7.4954    1.5480   1  A1   (T)  #80   BRD_ID1          T PIN TB_TP237.1
$17       7.3754    1.4231   1  A1   (T)  #963  PP3300_EC_ANA    T PIN TB_TP74.1
$18       7.1221    1.4129   1  A1   (T)  #984  EC_BYP           T PIN TB_TP187.1
$19       6.8004    1.3281   1  A1   (T)  #952  EC_SPI_FLASH_CLK T PIN TB_TP175.1
$20       6.8154    1.2300   1  A1   (T)  #953  EC_SPI_FLASH_MOSI T PIN TB_TP173.1
$21       6.5384    1.2543   3  A1   (T)  #412  SERVO_EC_SPI_MOSI T PIN TB_TP43.1
$22       6.4950    1.3010   2  A1   (T)  #1008 TRACKPAD_BTN_L   T PIN TP32.1
$23       6.5684    1.7042   1  A1   (T)  #417  SERVO_EC_SPI_MISO T PIN TB_TP44.1
$24       6.7568    1.8318   1  A1   (T)  #399  BIOS_FLASH_WP_ODL T PIN TB_TP240.1
$25       6.9694    1.6782   1  A1   (T)  #2    SLP_S4_L         T PIN TP67.1
$26       7.1474    1.8152   1  A1   (T)  #4    SLP_S0_L         T PIN TP65.1
$27       7.2594    1.9562   1  A1   (T)  #816  SUSPWRNACK       T PIN TB_TP30.1
$28       7.1404    1.9782   1  A1   (T)  #3    SLP_S3_L         T PIN TP66.1
$29       6.8824    2.3210   3  A1   (T)  #1099 N151224430       T PIN TB_TP106.1
$30       6.8296    2.3182   3  A1   (T)  #1090 H1_AP_FLASH_SEL_33A_ODL T PIN TB_TP139.1
$31       6.6864    2.3771   1  A1   (T)  #422  H1_SLAVE_AP_FLASH_SEL_ODL T PIN TB_TP137.1
$32       6.6454    2.4861   1  A1   (T)  #410  H1_SPI_MISO      T PIN TB_TP133.1
$33       6.5570    2.5152   1  A1   (T)  #409  H1_SPI_CS_L      T PIN TB_TP134.1
$34       6.7004    2.6462   2  A1   (T)  #335  DIOA11_DSPI0_SPIMISO T PIN TB_TP200.1
