Net name:

DDQ_0B_ZQ<1>   -> DDQ_0B_ZQ_1_
DDQ_0B_ZQ<0>   -> DDQ_0B_ZQ_0_
DDQ_0A_ZQ<1>   -> DDQ_0A_ZQ_1_
DDQ_0A_ZQ<0>   -> DDQ_0A_ZQ_0_
DDQ_1B_ZQ<1>   -> DDQ_1B_ZQ_1_
DDQ_1B_ZQ<0>   -> DDQ_1B_ZQ_0_
DDQ_1A_ZQ<1>   -> DDQ_1A_ZQ_1_
DDQ_1A_ZQ<0>   -> DDQ_1A_ZQ_0_
DDR_1B_DQ<15>  -> DDR_1B_DQ_15_
DDR_1B_DQ<0>   -> DDR_1B_DQ_0_
DDR_1B_CA<0>   -> DDR_1B_CA_0_
DDR_1B_CA<1>   -> DDR_1B_CA_1_
DDR_1B_CA<4>   -> DDR_1B_CA_4_
DDR_1B_CA<2>   -> DDR_1B_CA_2_
DDR_1B_CA<3>   -> DDR_1B_CA_3_
DDR_1B_DQ<27>  -> DDR_1B_DQ_27_
DDR_1B_DQ<31>  -> DDR_1B_DQ_31_
DDR_1B_DQ<28>  -> DDR_1B_DQ_28_
DDR_1B_DQ<19>  -> DDR_1B_DQ_19_
DDR_1B_DQ<21>  -> DDR_1B_DQ_21_
DDR_1B_DQ<22>  -> DDR_1B_DQ_22_
DDR_1B_DQ<20>  -> DDR_1B_DQ_20_
DDR_1B_DQ<10>  -> DDR_1B_DQ_10_
DDR_1B_DQ<9>   -> DDR_1B_DQ_9_
DDR_1B_DQ<30>  -> DDR_1B_DQ_30_
DDR_1B_DQ<16>  -> DDR_1B_DQ_16_
DDR_1B_DQ<29>  -> DDR_1B_DQ_29_
DDR_1B_DQ<24>  -> DDR_1B_DQ_24_
DDR_1B_DQ<26>  -> DDR_1B_DQ_26_
DDR_1B_DQ<25>  -> DDR_1B_DQ_25_
DDR_1A_DQ<17>  -> DDR_1A_DQ_17_
DDR_1B_CKE<1>  -> DDR_1B_CKE_1_
DDR_1A_CA<1>   -> DDR_1A_CA_1_
DDR_1A_DQ<20>  -> DDR_1A_DQ_20_
DDR_1A_DQ<21>  -> DDR_1A_DQ_21_
DDR_1A_DQ<22>  -> DDR_1A_DQ_22_
DDR_1A_DQ<18>  -> DDR_1A_DQ_18_
DDR_1B_DQ<2>   -> DDR_1B_DQ_2_
DDR_1A_CA<2>   -> DDR_1A_CA_2_
DDR_1A_CA<0>   -> DDR_1A_CA_0_
DDR_1A_CA<3>   -> DDR_1A_CA_3_
DDR_1A_CKE<1>  -> DDR_1A_CKE_1_
DDR_1A_CKE<0>  -> DDR_1A_CKE_0_
DDR_1A_CA<4>   -> DDR_1A_CA_4_
DDR_1A_CA<5>   -> DDR_1A_CA_5_
DDR_1B_CKE<0>  -> DDR_1B_CKE_0_
DDR_1B_DQ<7>   -> DDR_1B_DQ_7_
DDR_1B_CA<5>   -> DDR_1B_CA_5_
DDR_1A_DQ<30>  -> DDR_1A_DQ_30_
DDR_1A_DQ<27>  -> DDR_1A_DQ_27_
DDR_1B_DQ<8>   -> DDR_1B_DQ_8_
DDR_1B_CS<0>   -> DDR_1B_CS_0_
DDR_1B_DQ<17>  -> DDR_1B_DQ_17_
DDR_1B_DQ<12>  -> DDR_1B_DQ_12_
DDR_1B_CS<1>   -> DDR_1B_CS_1_
DDR_1B_DQ<4>   -> DDR_1B_DQ_4_
DDR_1B_DQ<5>   -> DDR_1B_DQ_5_
DDR_1A_CS<1>   -> DDR_1A_CS_1_
DDR_1B_DQ<6>   -> DDR_1B_DQ_6_
DDR_1A_CS<0>   -> DDR_1A_CS_0_
DDR_1B_DQ<18>  -> DDR_1B_DQ_18_
DDR_1B_DQ<23>  -> DDR_1B_DQ_23_
DDR_1B_DQ<14>  -> DDR_1B_DQ_14_
DDR_1B_DQ<13>  -> DDR_1B_DQ_13_
DDR_1B_DQ<11>  -> DDR_1B_DQ_11_
DDR_1B_DQ<3>   -> DDR_1B_DQ_3_
DDR_1B_DQ<1>   -> DDR_1B_DQ_1_
EXTE/TRIGIN    -> EXTE_TRIGIN
EXTF/TRIGOUT   -> EXTF_TRIGOUT
TDI/EXTB       -> TDI_EXTB
TMS/TMSC       -> TMS_TMSC
TDO/EXTA       -> TDO_EXTA
DDR_1A_DQ<0>   -> DDR_1A_DQ_0_
DDR_1A_DQ<7>   -> DDR_1A_DQ_7_
DDR_0B_DQ<31>  -> DDR_0B_DQ_31_
DDR_0B_DQ<24>  -> DDR_0B_DQ_24_
DDR_1A_DQ<19>  -> DDR_1A_DQ_19_
DDR_0B_DQ<21>  -> DDR_0B_DQ_21_
DDR_0B_DQ<30>  -> DDR_0B_DQ_30_
DDR_0B_DQ<28>  -> DDR_0B_DQ_28_
DDR_0B_DQ<9>   -> DDR_0B_DQ_9_
DDR_0B_DQ<29>  -> DDR_0B_DQ_29_
DDR_1A_DQ<10>  -> DDR_1A_DQ_10_
DDR_0B_DQ<17>  -> DDR_0B_DQ_17_
DDR_1A_DQ<5>   -> DDR_1A_DQ_5_
DDR_1A_DQ<1>   -> DDR_1A_DQ_1_
DDR_1A_DQ<3>   -> DDR_1A_DQ_3_
DDR_0B_DQ<26>  -> DDR_0B_DQ_26_
DDR_0B_DQ<25>  -> DDR_0B_DQ_25_
DDR_1A_DQ<4>   -> DDR_1A_DQ_4_
DDR_1A_DQ<2>   -> DDR_1A_DQ_2_
DDR_0B_DQ<27>  -> DDR_0B_DQ_27_
DDR_1A_DQ<12>  -> DDR_1A_DQ_12_
DDR_1A_DQ<16>  -> DDR_1A_DQ_16_
DDR_1A_DQ<23>  -> DDR_1A_DQ_23_
DDR_1A_DQ<6>   -> DDR_1A_DQ_6_
DDR_0B_DQ<3>   -> DDR_0B_DQ_3_
DDR_0B_DQ<0>   -> DDR_0B_DQ_0_
DDR_0B_DQ<4>   -> DDR_0B_DQ_4_
DDR_0B_DQ<1>   -> DDR_0B_DQ_1_
DDR_0B_DQ<2>   -> DDR_0B_DQ_2_
DDR_0B_DQ<20>  -> DDR_0B_DQ_20_
DDR_0B_DQ<19>  -> DDR_0B_DQ_19_
DDR_0B_DQ<22>  -> DDR_0B_DQ_22_
DDR_0B_DQ<7>   -> DDR_0B_DQ_7_
DDR_1A_DQ<26>  -> DDR_1A_DQ_26_
DDR_1A_DQ<24>  -> DDR_1A_DQ_24_
DDR_1A_DQ<28>  -> DDR_1A_DQ_28_
DDR_1A_DQ<25>  -> DDR_1A_DQ_25_
DDR_1A_DQ<8>   -> DDR_1A_DQ_8_
DDR_0B_DQ<16>  -> DDR_0B_DQ_16_
DDR_1A_DQ<9>   -> DDR_1A_DQ_9_
DDR_0B_DQ<23>  -> DDR_0B_DQ_23_
DDR_1A_DQ<11>  -> DDR_1A_DQ_11_
DDR_0B_DQ<18>  -> DDR_0B_DQ_18_
DDR_1A_DQ<31>  -> DDR_1A_DQ_31_
DDR_1A_DQ<13>  -> DDR_1A_DQ_13_
DDR_1A_DQ<15>  -> DDR_1A_DQ_15_
DDR_1A_DQ<29>  -> DDR_1A_DQ_29_
DDR_1A_DQ<14>  -> DDR_1A_DQ_14_
TRC_DATA0[2]   -> TRC_DATA0_2_
TRC_DATA0[7]   -> TRC_DATA0_7_
TRC_DATA0[8]   -> TRC_DATA0_8_
TRC_DATA0[6]   -> TRC_DATA0_6_
TRC_DATA0[1]   -> TRC_DATA0_1_
TRC_DATA0[4]   -> TRC_DATA0_4_
TRC_DATA0[5]   -> TRC_DATA0_5_
NTRST/EXTD     -> NTRST_EXTD
DDR_0A_CA<2>   -> DDR_0A_CA_2_
DDR_0B_DQ<11>  -> DDR_0B_DQ_11_
DDR_0B_DQ<8>   -> DDR_0B_DQ_8_
DDR_0B_CA<4>   -> DDR_0B_CA_4_
DDR_0A_CA<4>   -> DDR_0A_CA_4_
DDR_0A_CA<1>   -> DDR_0A_CA_1_
DDR_0A_CA<3>   -> DDR_0A_CA_3_
DDR_0A_CA<0>   -> DDR_0A_CA_0_
DDR_0A_DQ<27>  -> DDR_0A_DQ_27_
DDR_0B_DQ<13>  -> DDR_0B_DQ_13_
DDR_0B_CA<0>   -> DDR_0B_CA_0_
DDR_0B_CA<3>   -> DDR_0B_CA_3_
DDR_0B_CA<2>   -> DDR_0B_CA_2_
DDR_0B_DQ<14>  -> DDR_0B_DQ_14_
DDR_0B_CA<1>   -> DDR_0B_CA_1_
DDR_0B_CA<5>   -> DDR_0B_CA_5_
DDR_0B_DQ<10>  -> DDR_0B_DQ_10_
DDR_0B_DQ<12>  -> DDR_0B_DQ_12_
DDR_0B_DQ<15>  -> DDR_0B_DQ_15_
DDR_0A_DQ<14>  -> DDR_0A_DQ_14_
DDR_0A_DQ<13>  -> DDR_0A_DQ_13_
DDR_0A_DQ<22>  -> DDR_0A_DQ_22_
DDR_0A_DQ<20>  -> DDR_0A_DQ_20_
DDR_0A_DQ<21>  -> DDR_0A_DQ_21_
DDR_0A_DQ<31>  -> DDR_0A_DQ_31_
DDR_0A_DQ<25>  -> DDR_0A_DQ_25_
DDR_0A_DQ<30>  -> DDR_0A_DQ_30_
DDR_0A_DQ<29>  -> DDR_0A_DQ_29_
DDR_0A_DQ<28>  -> DDR_0A_DQ_28_
DDR_0B_DQ<6>   -> DDR_0B_DQ_6_
DDR_0A_CS<0>   -> DDR_0A_CS_0_
DDR_0B_DQ<5>   -> DDR_0B_DQ_5_
DDR_0A_CS<1>   -> DDR_0A_CS_1_
DDR_0B_CS<1>   -> DDR_0B_CS_1_
DDR_0B_CS<0>   -> DDR_0B_CS_0_
DDR_0A_DQ<2>   -> DDR_0A_DQ_2_
DDR_0A_DQ<19>  -> DDR_0A_DQ_19_
DDR_0A_DQ<3>   -> DDR_0A_DQ_3_
DDR_0A_CKE<0>  -> DDR_0A_CKE_0_
DDR_0A_CKE<1>  -> DDR_0A_CKE_1_
DDR_0A_DQ<24>  -> DDR_0A_DQ_24_
DDR_0A_DQ<26>  -> DDR_0A_DQ_26_
DDR_0A_CA<5>   -> DDR_0A_CA_5_
DDR_0B_CKE<0>  -> DDR_0B_CKE_0_
DDR_0B_CKE<1>  -> DDR_0B_CKE_1_
DDR_0A_DQ<9>   -> DDR_0A_DQ_9_
DDR_0A_DQ<6>   -> DDR_0A_DQ_6_
DDR_0A_DQ<10>  -> DDR_0A_DQ_10_
DDR_0A_DQ<8>   -> DDR_0A_DQ_8_
DDR_0A_DQ<5>   -> DDR_0A_DQ_5_
DDR_0A_DQ<1>   -> DDR_0A_DQ_1_
DDR_0A_DQ<0>   -> DDR_0A_DQ_0_
DDR_0A_DQ<7>   -> DDR_0A_DQ_7_
DDR_0A_DQ<4>   -> DDR_0A_DQ_4_
DDR_0A_DQ<15>  -> DDR_0A_DQ_15_
DDR_0A_DQ<18>  -> DDR_0A_DQ_18_
DDR_0A_DQ<12>  -> DDR_0A_DQ_12_
DDR_0A_DQ<11>  -> DDR_0A_DQ_11_
DDR_0A_DQ<16>  -> DDR_0A_DQ_16_
DDR_0A_DQ<17>  -> DDR_0A_DQ_17_
DDR_0A_DQ<23>  -> DDR_0A_DQ_23_
SIO_SPI_2_TXD/GPIO123 -> SIO_SPI_2_TXD_GPIO123
TRC_DATA2[1]   -> TRC_DATA2_1_
TRC_DATA1[8]   -> TRC_DATA1_8_
TRC_DATA1[9]   -> TRC_DATA1_9_
SIO_SPI_0_FS1/GPIO106 -> SIO_SPI_0_FS1_GPIO106
TRC_DATA2[2]   -> TRC_DATA2_2_
