 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Parts List              1202/1202  Selected Parts             23-January-2018 15:05
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

PR188         2.6070    2.1860    0.0  A1   (T)  'R402H16', 'R402H16'
PR189         2.5760    2.2290    0.0  A1   (T)  'R402H16', 'R402H16'
PR191         2.8100    2.2080    0.0  A1   (T)  'R0201H12', 'R0201H12'
PR291         7.0854    3.7300   90.0  A1   (T)  'R402H16', 'R402H16'
PR292         6.9284    3.6640  270.0  A1   (T)  'R402H16', 'R402H16'
R1            4.4404    3.6182  180.0  A1   (T)  'R402H16', 'R402H16'
R2            4.4802    3.6145  180.0  A1   (T)  'R402H16', 'R402H16'
R3            4.2102    2.8125   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R4            4.1442    2.9085   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R5            3.9127    2.9221  180.0  A1   (T)  'R402H16', 'R402H16'
R6            4.2084    3.3531   90.0  A1   (B)  'R402H16_B', 'R402H16_B'
R7            4.4152    3.3425    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R8            3.9554    3.1212    0.0  A1   (T)  'R402H16', 'R402H16'
R9            3.9154    3.1212    0.0  A1   (T)  'R0201H12', 'R0201H12'
R10           7.3204    2.9581  180.0  A1   (T)  'R402H16', 'R402H16'
R11           7.3204    3.0532  180.0  A1   (T)  'R402H16', 'R402H16'
R12           5.1954    3.7232  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R13           5.1950    3.7620  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R14           5.2684    3.6831  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R15           5.1964    3.6831  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R16           7.4904    3.0482    0.0  A1   (T)  'R402H16', 'R402H16'
R17           7.4904    2.9682  180.0  A1   (T)  'R402H16', 'R402H16'
R18           2.8004    1.3732  270.0  A1   (T)  'R0201H12', 'R0201H12'
R20           1.9754    1.1382  180.0  A1   (T)  'R0201H12', 'R0201H12'
R21           2.5404    1.9031   90.0  A1   (T)  'R402H16', 'R402H16'
R22           2.4654    1.2732    0.0  A1   (T)  'R0201H12', 'R0201H12'
R23           3.9210    1.1980  180.0  A1   (T)  'R0201H12', 'R0201H12'
R24           5.4404    3.4232    0.0  A1   (T)  'R402H16', 'R402H16'
R25           5.4714    3.4261    0.0  A1   (T)  'R402H16', 'R402H16'
R26           5.5144    3.4261    0.0  A1   (T)  'R402H16', 'R402H16'
R27           0.8044    0.6812  270.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R28           0.8300    0.3810  270.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R29           5.3840    3.3180  180.0  A1   (T)  'R402H16', 'R402H16'
R30           2.1854    3.4932    0.0  A1   (T)  'R402H16', 'R402H16'
R31           2.1854    3.4131  180.0  A1   (T)  'R402H16', 'R402H16'
R32           2.4676    2.3920  180.0  A1   (T)  'R0201H12', 'R0201H12'
R33           7.4700    1.6780   90.0  A1   (T)  'R402H16', 'R402H16'
R34           4.7374    3.5551    0.0  A1   (T)  'R402H16', 'R402H16'
R35           5.5664    3.4251  180.0  A1   (T)  'R402H16', 'R402H16'
R36           7.5504    2.4050  270.0  A1   (T)  'R402H16', 'R402H16'
R37           7.6454    2.4050   90.0  A1   (T)  'R402H16', 'R402H16'
R38           4.5230    1.3480  180.0  A1   (T)  'R402H16', 'R402H16'
R39           4.5270    1.4140  180.0  A1   (T)  'R402H16', 'R402H16'
R43           0.9514    1.7313    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R44           0.9154    1.7290    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R45           5.7104    3.1681   90.0  A1   (T)  'R402H16', 'R402H16'
R46           4.6114    3.5482   90.0  A1   (T)  'R402H16', 'R402H16'
R48           1.2454    1.7290    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R49           1.2104    1.7260    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R50           5.8104    3.3361  180.0  A1   (T)  'R402H16', 'R402H16'
R51           5.7804    3.3432    0.0  A1   (T)  'R402H16', 'R402H16'
R52           5.3954    2.9882  270.0  A1   (T)  'R402H16', 'R402H16'
R53           5.2374    2.9381  270.0  A1   (B)  'R402H16_B', 'R402H16_B'
R54           5.8970    3.3350  180.0  A1   (T)  'R402H16', 'R402H16'
R55           4.3464    3.7152  180.0  A1   (T)  'R402H16', 'R402H16'
R56           4.9304    3.8331  270.0  A1   (T)  'R402H16', 'R402H16'
R57           4.3504    3.6282    0.0  A1   (T)  'R402H16', 'R402H16'
R58           5.1054    3.5682    0.0  A1   (T)  'R402H16', 'R402H16'
R59           5.0634    3.7081  270.0  A1   (T)  'R402H16', 'R402H16'
R60           5.4654    3.7332  270.0  A1   (T)  'R402H16', 'R402H16'
R61           0.9890    1.4260  270.0  A1   (T)  'R0201H12', 'R0201H12'
R62           4.3004    3.6282  180.0  A1   (T)  'R402H16', 'R402H16'
R63           4.9904    3.3792    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R64           4.9374    3.7212   90.0  A1   (T)  'R402H16', 'R402H16'
R65           4.2404    3.6282  180.0  A1   (T)  'R402H16', 'R402H16'
R66           4.9370    3.7520   90.0  A1   (T)  'R402H16', 'R402H16'
R67           4.3004    3.7182  180.0  A1   (T)  'R402H14', 'R402H14'
R68           4.2404    3.7182  180.0  A1   (T)  'R402H14', 'R402H14'
R69           4.1854    3.7182  180.0  A1   (T)  'R402H14', 'R402H14'
R70           4.7754    3.5550    0.0  A1   (T)  'R0201H12', 'R0201H12'
R71           6.9060    1.7780    0.0  A1   (B)  'R402H16_B', 'R402H16_B'
R72           4.5254    1.2981   90.0  A1   (T)  'R0201H12', 'R0201H12'
R73           7.0304    2.1082    0.0  A1   (T)  'R0201H12', 'R0201H12'
R74           7.0304    2.0282  180.0  A1   (T)  'R0201H12', 'R0201H12'
R75           7.0304    1.9682    0.0  A1   (T)  'R0201H12', 'R0201H12'
R76           7.0334    2.1881    0.0  A1   (T)  'R0201H12', 'R0201H12'
R77           7.0004    2.1082    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R78           7.0024    2.0271  180.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R79           7.0024    1.9682    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R80           7.0054    2.1881    0.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R81           6.6004    1.2642  180.0  A1   (T)  'R0201H12', 'R0201H12'
